DATE 	LAT 	LON 	magni 	DEPTHkm 	REGION
18-JUN-2012 04:11:47 	52.82 	160.57 	4.1 	39.3 	OFF EAST COAST OF KAMCHATKA
18-JUN-2012 03:58:09 	52.83 	160.45 	4.2 	39.5 	OFF EAST COAST OF KAMCHATKA
18-JUN-2012 03:52:24 	-37.54 	51.10 	4.8 	10.1 	SOUTH INDIAN OCEAN
18-JUN-2012 03:36:19 	14.31 	-92.91 	4.1 	42.3 	NEAR COAST OF CHIAPAS, MEXICO
18-JUN-2012 03:17:35 	51.76 	-173.66 	4.3 	52.7 	ANDREANOF ISLANDS, ALEUTIAN IS.
18-JUN-2012 02:53:21 	14.57 	-92.62 	4.5 	82.4 	NEAR COAST OF CHIAPAS, MEXICO
18-JUN-2012 00:02:40 	41.86 	-29.16 	4.3 	10.0 	AZORES ISLANDS REGION
17-JUN-2012 23:43:39 	-56.95 	-26.50 	4.3 	10.1 	SOUTH SANDWICH ISLANDS REGION
17-JUN-2012 23:32:08 	42.55 	-29.06 	4.6 	10.0 	AZORES ISLANDS REGION
17-JUN-2012 20:32:20 	38.88 	141.86 	6.4 	36.0 	NEAR EAST COAST OF HONSHU, JAPAN
17-JUN-2012 19:20:43 	40.57 	21.63 	4.6 	14.2 	GREECE
17-JUN-2012 17:26:27 	-20.56 	-174.34 	5.3 	10.0 	TONGA ISLANDS
17-JUN-2012 14:34:19 	43.61 	-28.82 	4.7 	10.0 	NORTHERN MID-ATLANTIC RIDGE
17-JUN-2012 12:53:49 	53.44 	-165.70 	4.2 	23.1 	FOX ISLANDS, ALEUTIAN ISLANDS
17-JUN-2012 12:38:45 	-15.34 	-172.94 	4.6 	18.0 	SAMOA ISLANDS REGION
17-JUN-2012 09:01:52 	23.66 	121.56 	4.7 	7.3 	TAIWAN
17-JUN-2012 07:13:16 	36.15 	139.98 	4.6 	56.2 	EASTERN HONSHU, JAPAN
17-JUN-2012 06:38:08 	-17.77 	-176.73 	4.8 	10.0 	FIJI ISLANDS REGION
17-JUN-2012 05:18:33 	52.74 	160.65 	4.7 	43.4 	OFF EAST COAST OF KAMCHATKA
17-JUN-2012 03:43:08 	-8.50 	160.36 	5.2 	37.2 	SOLOMON ISLANDS
17-JUN-2012 03:12:07 	-6.47 	-80.71 	4.3 	42.9 	NEAR COAST OF NORTHERN PERU
17-JUN-2012 00:29:40 	-21.97 	-178.87 	4.5 	587.7 	FIJI ISLANDS REGION
16-JUN-2012 23:25:26 	-55.61 	-35.37 	4.3 	9.9 	SOUTH GEORGIA ISLAND REGION
16-JUN-2012 22:18:47 	15.58 	119.59 	5.9 	28.0 	LUZON, PHILIPPINE ISLANDS
16-JUN-2012 20:35:17 	-3.39 	-77.04 	4.5 	74.7 	PERU-ECUADOR BORDER REGION
16-JUN-2012 19:23:58 	29.07 	53.00 	4.3 	18.9 	SOUTHERN IRAN
16-JUN-2012 13:05:27 	20.66 	145.41 	5.1 	81.5 	MARIANA ISLANDS
16-JUN-2012 10:37:57 	51.86 	-170.53 	4.1 	30.9 	FOX ISLANDS, ALEUTIAN ISLANDS
16-JUN-2012 10:36:48 	-14.00 	-76.14 	4.2 	56.0 	NEAR COAST OF PERU
16-JUN-2012 06:13:06 	46.04 	150.38 	4.3 	124.7 	KURIL ISLANDS
16-JUN-2012 00:19:38 	-2.23 	-76.23 	4.8 	45.5 	PERU-ECUADOR BORDER REGION
15-JUN-2012 22:18:27 	51.47 	-176.65 	4.7 	38.7 	ANDREANOF ISLANDS, ALEUTIAN IS.
15-JUN-2012 18:27:22 	38.96 	143.42 	4.7 	16.5 	OFF EAST COAST OF HONSHU, JAPAN
15-JUN-2012 11:04:22 	6.56 	123.28 	4.6 	639.0 	MINDANAO, PHILIPPINE ISLANDS
15-JUN-2012 09:36:22 	30.35 	69.21 	4.2 	18.8 	PAKISTAN
15-JUN-2012 09:35:21 	45.33 	147.74 	4.2 	165.1 	KURIL ISLANDS
15-JUN-2012 08:43:32 	-3.38 	146.31 	5.4 	35.7 	BISMARCK SEA
15-JUN-2012 07:31:51 	38.22 	141.74 	4.7 	61.4 	NEAR EAST COAST OF HONSHU, JAPAN
15-JUN-2012 07:02:33 	32.49 	-97.29 	4.3 	4.9 	CENTRAL TEXAS
15-JUN-2012 06:53:37 	16.01 	-94.89 	4.2 	55.4 	OAXACA, MEXICO
15-JUN-2012 05:43:13 	-38.19 	-74.70 	4.3 	22.3 	OFF COAST OF CENTRAL CHILE
15-JUN-2012 05:09:46 	37.03 	141.34 	4.4 	40.5 	NEAR EAST COAST OF HONSHU, JAPAN
15-JUN-2012 03:33:02 	-16.29 	-69.57 	4.3 	174.9 	PERU-BOLIVIA BORDER REGION
15-JUN-2012 03:05:01 	-20.14 	-176.85 	4.3 	436.5 	FIJI ISLANDS REGION
15-JUN-2012 01:14:07 	5.72 	126.35 	5.7 	41.4 	MINDANAO, PHILIPPINE ISLANDS
14-JUN-2012 21:51:25 	42.16 	84.29 	5.4 	10.5 	NORTHERN XINJIANG, CHINA
14-JUN-2012 20:17:24 	1.32 	126.82 	5.6 	56.5 	NORTHERN MOLUCCA SEA
14-JUN-2012 16:46:07 	36.36 	29.09 	4.4 	45.9 	TURKEY
14-JUN-2012 16:15:13 	23.73 	121.56 	5.2 	9.6 	TAIWAN
14-JUN-2012 15:51:36 	28.36 	134.98 	4.7 	15.1 	WEST OF BONIN ISLANDS
14-JUN-2012 11:04:03 	-22.24 	179.71 	6.6 	561.9 	SOUTH OF FIJI ISLANDS
14-JUN-2012 10:58:25 	2.70 	91.41 	4.9 	13.7 	OFF W COAST OF NORTHERN SUMATERA
14-JUN-2012 05:52:54 	37.26 	42.49 	5.5 	14.9 	TURKEY
14-JUN-2012 04:47:47 	-22.80 	-63.81 	5.4 	532.1 	SALTA PROVINCE, ARGENTINA
